GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
99,2247,1988,72,89,280,4339,95.000,4.25,11.39,3.828,1.363,74.658,50.046
99,2216,1988,71,89,281,4339,97.000,1.34,11.39,3.801,1.358,75.247,52.008
99,2198,1988,72,90,280,4339,86.000,4.75,11.39,3.888,1.357,74.761,51.022
99,2189,1990,72,90,281,4339,80.000,3.36,11.39,3.524,1.365,74.413,49.945
99,2199,1988,73,89,280,4342,79.000,0.93,11.39,3.379,1.359,72.469,46.009
99,2189,1988,72,91,281,4342,78.000,3.39,11.39,3.406,1.360,73.433,47.592
99,2201,1988,73,93,281,4343,79.000,4.20,11.39,3.422,1.359,72.260,45.618
99,2191,1988,72,90,281,4343,67.000,3.09,11.39,3.467,1.361,72.901,47.113
96,2239,1990,72,90,281,4343,53.000,1.75,11.39,3.471,1.362,72.272,47.640
97,2234,1988,73,90,280,4343,56.000,2.62,11.39,4.169,1.366,74.753,51.943
97,2240,1990,72,92,281,4343,61.000,3.06,11.39,3.940,1.364,73.608,51.227
99,2205,1988,73,91,280,4343,61.000,0.83,11.39,4.236,1.363,74.461,52.561
95,2201,1988,74,91,280,4343,58.000,3.23,11.39,4.014,1.363,73.917,51.240
97,2216,1988,73,91,280,4343,60.000,2.45,11.39,4.270,1.363,74.847,52.429
87,2079,1988,73,91,281,4343,59.000,3.89,11.39,3.960,1.364,73.806,51.016
94,2199,1988,72,91,280,4343,62.000,0.38,11.39,4.106,1.362,74.406,51.461
88,2128,1990,73,93,279,4343,61.000,2.93,11.39,3.827,1.367,73.876,51.921
86,2079,1988,73,90,280,4343,62.000,2.62,11.39,4.082,1.363,74.664,51.349
96,2216,1988,73,90,281,4343,62.000,3.73,11.39,3.899,1.371,74.034,51.697
96,2218,1988,73,91,280,4343,63.000,1.56,11.39,4.070,1.364,74.055,51.484
82,2053,1986,72,92,279,4343,56.000,3.26,11.39,3.852,1.379,74.491,53.003
69,1927,1994,71,90,277,4343,55.000,3.81,11.39,4.394,1.365,74.864,51.671
72,1930,1996,72,88,263,4343,60.000,4.17,11.39,4.429,1.365,73.907,50.690
79,1937,1984,72,88,262,4343,70.000,1.75,11.39,4.502,1.363,74.747,51.820
80,1981,1982,72,88,262,4343,69.000,4.59,11.39,4.656,1.364,74.435,52.376
63,1692,1986,71,87,244,4343,87.000,4.43,11.39,4.640,1.362,75.313,52.720
87,2174,1986,71,89,273,4343,112.000,1.01,11.39,4.670,1.362,74.966,52.414
87,2177,1988,72,90,280,4343,108.000,3.88,11.39,4.709,1.362,75.699,53.099
99,2140,1988,74,92,280,4343,65.000,2.83,11.39,4.543,1.362,74.593,52.075
99,2143,1988,74,92,280,4345,57.000,0.46,11.39,3.481,1.352,71.239,41.967
99,2136,1990,73,93,281,4345,58.000,2.55,11.39,2.967,1.350,68.905,39.167
99,2136,1988,73,94,282,4345,59.000,3.46,11.39,3.174,1.354,69.552,40.204
99,2155,1988,74,93,280,4345,60.000,4.25,11.39,3.133,1.347,68.522,39.655
99,2154,1990,74,93,280,4346,61.000,0.37,11.39,3.088,1.358,69.971,41.384
99,2145,1990,74,92,280,4346,62.000,3.18,11.40,3.303,1.355,69.459,40.735
99,2155,1988,74,92,280,4346,63.000,4.19,11.39,3.119,1.351,69.642,41.487
99,2156,1988,74,92,281,4346,64.000,6.70,11.40,3.196,1.351,69.551,41.179
99,2165,1988,74,92,280,4346,65.000,2.48,11.39,3.464,1.362,71.049,43.600
99,2158,1988,74,92,280,4346,66.000,3.80,11.40,3.351,1.358,70.246,42.663
99,2169,1988,74,92,281,4347,69.000,2.79,11.39,3.385,1.362,71.341,44.796
99,2185,1988,74,93,281,4347,64.000,3.68,11.40,3.577,1.362,71.151,44.949
98,2189,1988,74,93,280,4347,56.000,2.85,11.39,3.851,1.365,73.537,49.402
98,2200,1988,73,92,281,4347,56.000,5.34,11.40,4.393,1.364,74.818,51.052
98,2205,1988,74,92,281,4347,55.000,3.75,11.39,4.480,1.363,75.720,52.542
76,1901,1982,74,92,278,4348,52.000,1.23,11.40,4.435,1.363,75.279,51.372
97,2194,1990,74,92,281,4351,52.000,3.06,11.39,4.433,1.362,75.847,50.921
91,2089,1988,74,91,279,4351,52.000,3.78,11.39,4.488,1.364,75.523,50.584
95,2172,1988,74,93,281,4351,52.000,0.00,11.39,4.435,1.361,75.815,51.318
94,2201,1988,74,93,281,4351,50.000,4.97,11.39,4.421,1.362,75.472,50.774
99,2160,1988,74,92,281,4351,54.000,3.20,11.39,4.436,1.363,75.900,51.855
99,2198,1990,75,92,280,4351,55.000,2.24,11.39,4.490,1.362,76.613,52.001
99,2164,1990,74,92,280,4351,54.000,2.52,11.39,4.527,1.360,77.225,54.415
94,2154,1988,74,94,282,4351,54.000,6.49,11.39,4.489,1.362,76.624,53.126
92,2130,1986,74,93,283,4351,56.000,4.81,11.39,4.504,1.361,76.733,52.918
64,1715,1976,72,91,248,4351,59.000,3.43,11.39,4.431,1.362,75.711,51.973
67,1743,1974,72,88,238,4352,59.000,5.65,11.39,4.532,1.364,74.374,49.933
55,1561,1980,72,88,236,4352,59.000,5.80,11.39,4.564,1.365,73.519,49.207
54,1584,1982,72,88,237,4352,58.000,2.62,11.39,4.417,1.365,74.210,49.574
70,1835,1984,71,86,238,4353,57.000,5.76,11.39,4.562,1.365,73.560,49.149
77,2041,1986,71,87,241,4353,53.000,5.94,11.39,4.591,1.364,74.416,50.232
77,1981,1994,72,87,240,4354,53.000,5.37,11.39,4.766,1.364,74.499,50.723
